Name;Vorname;Titel;Genre
Burton;Tim ;Corpse Bride;Kinofilm
Burton;Tim ;Ed Wood;Kinofilm
Berg;Amy;Deliver Us from Evil;Dokumentarfilm
Scorcese;Martin;Departed;Kinofilm
Caffrey ;David;Grand Theft Parsons;Kinofilm
Cameron;James ;Terminator 1+2;Kinofilm
Campion;Jane;The Piano;Kinofilm
Cannon;Danny;Phoenix;Kinofilm
Cantet;Laurent;L' emploi du temps;Kinofilm
Visconti;Lucchino;Der Leopard;Kinofilm
Cassavetes;John;A Woman Under the Influence;Kinofilm
Charles;Larry;BrÙno;Kinofilm
Costner;Kevin;Der mit dem Wolf tanzt;Kinofilm
Wilhelm;Kurt;Der Ruepp;Kinofilm
Chomet;Sylvain;The Triplets of Belleville;Kinofilm
Cimino;Michael;The Deer Hunter;Kinofilm
Jeunet;Jean-Pierre;Die fabelhafte Welt der Amelie;Kinofilm
Coen;Joel;A Serious Man;Kinofilm
Salles;Walter;Die Reisen des jungen Che;Kinofilm
Jones;Terry;Die Ritter der Kokosnu¤;Kinofilm
Fassbinder;Rainer Werner;Die Sehnsucht der Veronika Voss;Kinofilm
Schl_ndorff;Volker;Die verlorene Ehre der Katharina Blum;Kinofilm
Darabont;Frank ;Die Verurteilten;Kinofilm
Salfati;Pierre-Henry;Die Welt von Morgen;Dokumentarfilm
Coen;Ethan, Joel;Barton Fink;Kinofilm
Coen;Ethan, Joel;Big Lebowski;Kinofilm
Kopple;Barbara;Dixie Chicks: Shut up and Sing;Dokumentarfilm
Coen;Brothers;Blood Simple;Kinofilm
Coen;Joel;Fargo;Kinofilm
Coen;Joel, Ethan;miller's crossing;Kinofilm
Peralta;Stacy;Dogtown and Z-Boys;Dokumentarfilm
Newell;Mike;Donnie Brasco;Kinofilm
Coen;Joel;No Country for Old Man;Kinofilm
Coen;Ethan, Joel;Raising Arizona;Kinofilm
Moore;Michael;Downsize this;Dokumentarfilm
Coen;;True Grit;Kinofilm
