Name;Vorname;Titel;Genre
Nichols;Mike;Closer;Kinofilm
Nichols;Mike;Who's Afraid of Virginia Woolf?;Kinofilm
Wagenhofer;Erwin;we feed the world;Dokumentarfilm
Nolan;Christopher;Insomnia;Kinofilm
Scott;Leon;When we were Kings;Dokumentarfilm
Nolan;Christopher;Memento;Kinofilm
Jarecki;Eugene;Why we fight;Dokumentarfilm
Oshii;Mamoro;ghost in the shell 2;Kinofilm
Irving ;Judy;Wild Parrots of Telegraph Hill;Dokumentarfilm
Ozu;Yasujiro;Tokyo Story;Kinofilm
Agneskirchner;Alice;Wildenranna;Dokumentarfilm
Wadleigh;Michael;Woodstock;Dokumentarfilm
Glawogger;Michael;Workingmans Death;Dokumentarfilm
x;x;Wunderbare Jahre;Fernsehserie
Pakula;Alan;All the President's Men;Kinofilm
Antonioni;Michelangelo;Zabriskie Point;Kinofilm
Taylor;Astra ;Zizek!;Dokumentarfilm
Parker;Alan;Pink Floyd the Wall;Kinofilm
Unter unserem Himmel;;Zwischenlandung im Erdinger Moos;Dokumentarfilm
Wiseman;Frederick;Basic Training;Dokumentarfilm
Wiseman;Frederick;Public Housing;Dokumentarfilm
Wiseman;Frederick;Welfare;Dokumentarfilm
Hexter;Ross;Dadetown;Dokumentarfilm
Wexler;Haskell;Medium Cool;Dokumentarfilm
Wiseman;Frederick;Juvenile Court;Dokumentarfilm
Parker;Allan;The Commitments;Kinofilm
Fiennes;Sophie;Perverts Guide to Cinema;Dokumentarfilm
Pasolini;Pier Paolo;Decameron;Kinofilm
Pasolini;Pier Paolo;Medea;Kinofilm
Payne;Alexander;Sideways;Kinofilm
Peckinpah;Sam;The Getaway;Kinofilm
Peckinpah;Sam;The Wild Bunch;Kinofilm
Penn;Sean;Into the Wild;Kinofilm
Waxman;Keoni;A dangerous man;Dokumentarfilm
Petersen;Wolfgang;Das Boot;Kinofilm
Polanski;Roman;Chinatown;Kinofilm
Polanski;Roman;Frantic;Kinofilm
Polanski;Roman;Rosemary's Baby;Kinofilm
;;The Spanish Civil War;Dokumentarfilm
Polanski;Roman;Tess;Kinofilm
Polanski;Roman;The Pianist;Kinofilm
Wiseman;Frederick;Model;Dokumentarfilm
Wiseman;Frederick;Hospital;Dokumentarfilm
;;Wer blos lacht is ned frei!;Dokumentarfilm
Pollack;Sydney;The Way We Were;Kinofilm
Pollack;Sydney;Tootsie;Kinofilm
Gr_ning;Philip;Die grosse Stille;Dokumentarfilm
Porumboiu;Corneliu;Politist Adjectiv;Kinofilm
Lew-Lee;Lee;All Power To The People;Dokumentarfilm
Proyas;Alex;Dark City;Kinofilm
Puenzo;Luis;The Official Story;Kinofilm
Puiu;Cristi;Death of Mr Lazarescu;Kinofilm
Rafelson;Bob;Five Easy Pieces;Kinofilm
Ramsay;Lynne;Morvern Callar;Kinofilm
Redford;Robert;Quiz Show;Kinofilm
Reed;Carol;Der Dritte Mann;Kinofilm
Reiner;Walter;Ein MÙnchner im Himmel;Kinofilm
Reiner;Rob;This is Spinal Tap;Kinofilm
Reitman;Jason;Young Adult;Kinofilm
Bichlbaum;Andy;The Yes Men Fix The World;Dokumentarfilm
Renoir;Jean;The Grand Illusion;Kinofilm
Reygadas;Carlos;Silent Light;Kinofilm
Herzog;Werner;The White Diamond;Dokumentarfilm
Riefenstahl;Leni;Triumph des Willens;Kinofilm
Romero;George;Night of the Living Dead;Kinofilm
Russell;David;I Heart Huckabees;Kinofilm
Salvadorie;Pierre;Die Anf_nger les aprentis;Kinofilm
Sarafian;Richard;Vanishing Point;Kinofilm
Schaffner;Franklin;Papillon;Kinofilm
Schaffner;Franklin;Planet of the Apes;Kinofilm
Schumacher;Joel;Falling Down;Kinofilm
Schumacher;Joel;St. Elmo's Fire;Kinofilm
Schumacher;Joel;The Breakfast Club;Kinofilm
Scorcese;Martin;After Hour;Kinofilm
Scorcese;Martin;No Direction Home: Bob Dylan;Kinofilm
Scorcese;Martin;Taxi Driver;Kinofilm
Scorcese;Martin;The King Of Comedy ;Kinofilm
Meltzer;Jamie;Off The Charts;Dokumentarfilm
Scorcese;Martin;The Last Waltz;Kinofilm
Feuerzeig;Jeff;The Devil and Daniel Johnston;Dokumentarfilm
Scorcese;Martin;Shutter Island;Kinofilm
;;Ringsgwandl Kasperl oder Genie;Dokumentarfilm
Ferguson ;Charles;Inside Job;Dokumentarfilm
Scorcese;Martin;Inception;Kinofilm
Scott;Ridley;Blade Runner;Kinofilm
Huston;John;The Maltese Falcon;Kinofilm
Scott;Ridley;Thelma & Louise;Kinofilm
Segura;Santiago;Torrente;Kinofilm
Sharman;Jim ;Rocky Horror Picture Show;Kinofilm
Sicheritz;Harald;Zw_lfel_uten;Kinofilm
Singer;Bryan;The Usual Suspects;Kinofilm
Smith;Kevin;Clerks;Kinofilm
D'Innocenzo;Diego;Living in a Perfect World;Dokumentarfilm
Smith;Kevin;Clerks 2;Kinofilm
Kenner ;Robert;Food Inc.;Dokumentarfilm
Gandini;Erik;Surplus: Terrorized into Being Consumers;Dokumentarfilm
Ptolemy;Barry;Transcendent Man;Dokumentarfilm
Bennett;Thimothy;What a Way to Go: Life at the End of Empire;Dokumentarfilm
Soderbergh;Steven;Out of Sight;Kinofilm
Sokurov;Aleksandr;Russian Ark;Kinofilm
Kleijwegt;David;You May Need A Murderer;Dokumentarfilm
Sorrentino;Paolo;The Consequences of Love;Kinofilm
Paxton;Michael;Ayn Rand - A Sense of Life;Dokumentarfilm
Curtis;Adam;All Watched Over by Machines of Loving Grace - Part 1 of 3;Dokumentarfilm
;;Ellul - The Betrayal by Technology;Dokumentarfilm
Sorrentino;Paolo;The Family Friend;Kinofilm
de Antonio;Emile;Mr. Hoover and I;Dokumentarfilm
de Antonio;Emile;Primary;Dokumentarfilm
Curtis;Adam;The Century of the Self;Dokumentarfilm
Spielmann;G_tz;Revanche;Kinofilm
Springer Berman;Shari;American Splendor;Kinofilm
Moyers ;Billy ;The Power Of Myth;Dokumentarfilm
Clenell;Jake;The Great Happiness Space;Dokumentarfilm
Maringouin;John;Big River Man;Dokumentarfilm
Stevens;George;Giganten;Kinofilm
Reggio;Godfrey;Koyanisqaatsi;Dokumentarfilm
Dickson;Deborah;Lalee's Kin: The Legacy of Cotton;Dokumentarfilm
Malmberg;Jeff;Marwencol;Dokumentarfilm
Ferguson ;Niall;The Ascent Of Money;Dokumentarfilm
Stiller;Ben;Reality Bites;Kinofilm
Schroeder;Barbet;The Charles Bukowski Tapes;Dokumentarfilm
Stone;Oliver;The Doors;Kinofilm
BR;;Dahoam in Amerika - Oskar Maria Graf;Dokumentarfilm
Stone;Oliver;Wall Street;Kinofilm
Kirby;Dick;Sick - The Life & Death of Bob Flanagan, Supermasochist;Dokumentarfilm
Seidl;Ulrich;Jesus, Du Weisst;Dokumentarfilm
Hegedus;Chris;Startup.com;Dokumentarfilm
Crumb;Robert;The confessions of Robert Crumb;Dokumentarfilm
Svankmajer;;Alice;Kinofilm
Takahata;Isao;Grave of the Fireflies;Kinofilm
Tarantino;Quentin;Inglorious Basterds;Kinofilm
Tarkowski;Andrei;Solaris;Kinofilm
Tarkowski;Andrei;Stalker;Kinofilm
;;Attwengerfilm;Dokumentarfilm
;;Attwenger Adventure;Dokumentarfilm
Tarr;Bela;Satantango;Kinofilm
Tarr;B_la;Werckmeister harmonies;Kinofilm
Ternovsky;Bela;Cat City;Kinofilm
K_nig;Ulrich;Xaver Brunnmayr;Fernsehserie
Tornatore;Giuseppe;Cinema Paradiso;Kinofilm
Truffaut;Francois;400 Blows;Kinofilm
Truffaut;Francois;Fahrenheit 451;Kinofilm
van Peebles;Melvin;Sweet Sweetbacks Baadassss Song;Kinofilm
van Sant ;Gus ;Elephant;Kinofilm
van Sant ;Gus ;My Private Idaho;Kinofilm
van Sant ;Gus ;Paranoid Park;Kinofilm
Verhoeven;Michael;Das schreckliche M_dchen;Kinofilm
Visconti;Luchino;Ludwig;Kinofilm
von Trier;Lars;Breaking the Waves;Kinofilm
von Trier;Lars;Antichrist;Kinofilm
Wang;Wayne;Smoke;Kinofilm
;;Stone Reader;Dokumentarfilm
Herzog;Werner;Cave of Forgotten Dreams;Dokumentarfilm
Warwick;Thornton;Samson & Delilah;Kinofilm
Waters;John;Pink Flamingos;Kinofilm
Palmer;Ian;Knuckle;Dokumentarfilm
Weir;Peter;Master & Commander;Kinofilm
Weir;Peter;Picnic at Hanging Rock;Kinofilm
Wenders;Wim;Der Himmel Ùber Berlin;Kinofilm
Wenders;Wim;Paris, Texas;Kinofilm
Wenders;Wim;Until the End of the World;Kinofilm
Wenders;Wim;Hammett;Kinofilm
Wenders;Wim;Alice in den St_dten;Kinofilm
Herzog;Werner;Death Row;Dokumentarfilm
Wilder;Billy ;Die Zeugin der Anklage;Kinofilm
Wilder;Billy ;Some like it Hot;Kinofilm
Wilder;Billy ;Sunset Boulevard;Kinofilm
Wilder;Billy ;The Apartment;Kinofilm
Winterbottom;Michael;24 hour Party People;Kinofilm
Yang;Edward;Yi-Yi One And A Two;Kinofilm
Yates;Peter;bullitt;Kinofilm
Yeager;Steve;Divine Trash;Kinofilm
Gelb;David;Jiro, dreams of Sushi;Dokumentarfilm
Zemeckis;Robert;ZurÙck in die Zukunft;Kinofilm
Zwigoff;Terry;Ghost World;Kinofilm
;;Futurama Movies;Kinofilm
Rothemund;Marc;Sophie Scholl;Kinofilm
Weide;Robert B.;Woody Allen - A Documentary;Dokumentarfilm
Losmann;Carmen;Work Hard Play Hard;Dokumentarfilm
Radford;Michael;Il Postino;Kinofilm
Haneke;Michael;Amour;Kinofilm
Herzog;Werner;Into the Abyss;Dokumentarfilm
Diritti;Giorgio;Il Vento Fa Il Suo Giro;Kinofilm
Rosales;Jaime;La Soledad;Kinofilm
Castellitto;Sergio;Non ti muovere;Kinofilm
Pruckner;Maria;90 Jahre Heinz von Foerster - Die praktische Bedeutung seiner wichtigsten Arbeiten;Dokumentarfilm
Akkad;Moustapha;The Message;Kinofilm
McGann;Rob;American Zeitgeist;Dokumentarfilm
Fassbinder;Rainer Werner;Berlin, Alexanderplatz;Fernsehserie
Truffaut;Francois;Day for Night;Kinofilm
Dietl;Helmut;Der ganz normale Wahnsinn;Serie
Arcand ;Denys;Die Invasion der Barbaren;Kinofilm
Grant;Lee;Down and Out in America;Dokumentarfilm
Connolly;Bob;First Contact;Dokumentarfilm
Kenner;Robert;Food, Inc.;Dokumentarfilm
Reinert;Al ;For All Mankind;Dokumentarfilm
Raymond;Susan;I am a Promise;Dokumentarfilm
Lazaretti;Fabrizio;Jung (War) in the Land of the Mujaheddin;Dokumentarfilm
Baumann;Fritz;Little Germanies;Dokumentarfilm
Viet;Hans-Erich;Milch und Honig aus Rotfront;Dokumentarfilm
Blankenbaker;Betsie;New York in the 50's;Dokumentarfilm
Rogosin;Lionel;On the Bowery;Dokumentarfilm
de Antonio;Emile;Point of Order;Dokumentarfilm
;;pop 2000;Dokumentarfilm
NÙchtern;RÙdiger;Schluchtenflitzer;Kinofilm
Workman;Chuck;The Beat-Generation;Dokumentarfilm
Harris;Jonathan;The Long Way Home;Dokumentarfilm
Apted;Michael;The Up series;Dokumentarfilm
Glorieux;Veronique;WORLD ACCORDING TO TRAUDL, THE;Dokumentarfilm
Leone;Sergio;Zwei glorreiche Halunken;Kinofilm
Wieland;Dieter;;Dokumentarfilm
Yang;Edward;Confucian Confusion;Kinofilm
Boutang;;L'abecedaire Deleuze;Dokumentarfilm
Zhangke;Jia;Unknown Pleasures;Kinofilm
Lovelace;Will;No Distance Left To Run;Dokumentarfilm
Walker ;Lucy;Devil's Playground;Dokumentarfilm
;;Wir waren das Miljoe - K_lsche Geschichten;Dokumentarfilm
Greenfield;Lauren;The Queen of Versailles;Dokumentarfilm
Sverak;Jan;Kolya;Kinofilm
Jacopetti;Gualtiero;Mondo Cane;Dokumentarfilm
Maciel;Fabiano;A Vida e um Sopro;Dokumentarfilm
Eimbcke;Fernando;Temporado de Patos;Kinofilm
Anderson;Wes;The Life Aquatic with Steve Zissou;Kinofilm
Fletcher;Dexter;Wild Bill;Kinofilm
Redmon;David;Girl Model;Dokumentarfilm
Kaye;Tony;Lake of Fire;Dokumentarfilm
Press;Richard;Bill Cunningham - New York;Dokumentarfilm
Carax;Leos;Holy Motors;Kinofilm
Koreeda;Hirokazu;I Wish;Kinofilm
Scola;Ettore;La Famiglia;Kinofilm
Virzi;Paolo;La Prima Cosa Bella;Kinofilm
Gibney;Alex;Man on Wire;Dokumentarfilm
Bong;Joon-ho;Memories of Murder;Kinofilm
Baumbach;Noah;The Squid and the Whale;Kinofilm
Leyser;Yony;William Burroughs A Man Within;Dokumentarfilm
;;Una giornata particolare;Kinofilm
;;Nobody Knows;Kinofilm
Altman;Robert;The Company;Kinofilm
Gay;Cesc;Una pistola en cada mano;Kinofilm
;;Jagten (The Hunt);Kinofilm
;;Baraka;Dokumentarfilm
Gay;Cesc;En la ciudad;Kinofilm
